id,target
0,23537200.0
1,9325300.0
2,6730200.0
3,1313200.0
4,2291850.0
5,8903950.0
6,2118330.0
7,8277800.0
8,23577450.0
9,3430100.0
10,30556250.0
11,15318500.0
12,4518950.0
13,3627700.0
14,1965460.0
15,4507400.0
16,1571950.0
17,1391780.0
18,3919950.0
19,3100225.0
20,3300275.0
21,4423950.0
22,3424075.0
23,9144250.0
24,2597250.0
25,4041300.0
26,2182450.0
27,1198860.0
28,2720400.0
29,4530600.0
30,1245050.0
31,8596950.0
32,3396100.0
33,1317380.0
34,4493700.0
35,3784100.0
36,3096800.0
37,1492700.0
38,3156650.0
39,5854350.0
40,4446010.0
41,8809450.08
42,2675350.0
43,9304500.0
44,9879600.0
45,5400900.0
46,26978900.0
47,79416050.0
48,3994600.0
49,4208850.0
50,12707350.0
51,3798400.0
52,2993750.0
53,10819100.0
54,1911950.0
55,2093280.0
56,1511710.0
57,7457200.0
58,2614625.0
59,1199985.0
60,10717200.0
61,4323100.0
62,2801910.0
63,9754850.0
64,2944250.0
65,3975750.0
66,9853000.0
67,3767700.0
68,1750850.0
69,3742700.0
70,7760850.0
71,3411975.0
72,4545900.0
73,3350650.0
74,8171750.0
75,6296300.08
76,1273850.0
77,7488250.0
78,5903390.0
79,22242100.0
80,47190700.0
81,10757750.0
82,2477500.0
83,2947850.0
84,21665850.0
85,10986200.0
86,2370000.0
87,3506250.0
88,6755825.0
89,7176500.0
90,3282050.0
91,30010250.0
92,10464800.0
93,6368300.0
94,20585450.0
95,3372850.0
96,1056950.0
97,2129650.0
98,1899425.0
99,27804750.0
100,3731800.0
101,30757350.0
102,2839950.0
103,42820000.0
104,3384750.0
105,9072750.0
106,6809850.0
107,19693750.0
108,3762100.0
109,3863700.0
110,22438300.0
111,12295850.0
112,3377500.0
113,4979305.08
114,8975750.0
115,10094775.4
116,5986950.0
117,10489200.0
118,23893750.0
119,2185310.0
120,3618100.0
121,7235050.0
122,2591350.0
123,2135760.0
124,4284900.0
125,20994250.0
126,3762450.0
127,1358600.0
128,2773950.0
129,2616200.0
130,19444650.0
131,4636950.0
132,2858800.0
133,27531000.0
134,23679600.0
135,2472855.0
136,24821000.0
137,1839700.0
138,4332300.0
139,11425000.0
140,3995400.0
141,69116450.0
142,29742250.0
143,12433000.0
144,13208600.0
145,3308250.0
146,2812085.0
147,10863100.0
148,2106060.0
149,3409980.0
150,1259100.0
151,4556400.0
152,2359200.0
153,10167600.0
154,17458750.0
155,20044750.0
156,3820500.0
157,3156800.0
158,5951105.0
159,2909900.0
160,1216830.0
161,5744750.0
162,11010300.0
163,18421200.0
164,27742900.0
165,5045825.0
166,2414410.0
167,2853225.0
168,2997850.0
169,12663200.0
170,8205350.0
171,6966750.0
172,3651500.0
173,1980580.0
174,10205150.0
175,1227750.0
176,9879600.0
177,7674950.0
178,3111025.0
179,1517450.0
180,3440350.0
181,7098275.0
182,2840350.0
183,1297995.0
184,18835250.0
185,3506350.0
186,6695000.0
187,7900500.0
188,4336000.0
189,3359250.0
190,2422300.0
191,3360500.0
192,2426175.0
193,5343200.0
194,2844300.0
195,7454350.0
196,1437775.0
197,12024850.0
198,11061500.0
